"A_gene_name"	"B_gene_name"	"from"	"to"	"neighborhood"	"neighborhood_transferred"	"fusion"	"cooccurence"	"homology"	"coexpression"	"coexpression_transferred"	"experiments"	"experiments_transferred"	"database"	"database_transferred"	"textmining"	"textmining_transferred"	"combined_score"	"pval_PPI_enrich"	"pubmed_ids"
"csw"	"flw"	"7227.FBpp0070363"	"7227.FBpp0071381"	0	0	0	0	0	110	0	0	0	0	0	91	0	156	0	"PMID:24040418, PMID:21779496, PMID:21629754, PMID:17306545, PMID:16484628, PMID:10675316"
"shf"	"dlp"	"7227.FBpp0070939"	"7227.FBpp0075431"	0	0	0	0	0	0	0	0	0	0	0	277	0	277	0	"PMID:25001599, PMID:24121526, PMID:24068944, PMID:22951645, PMID:20066107, PMID:12455630"
"msn"	"dlp"	"7227.FBpp0072830"	"7227.FBpp0075431"	0	0	0	0	0	0	0	0	0	0	0	0	165	165	0	"PMID:19292674, PMID:17475018, PMID:12455630"
"rasp"	"dlp"	"7227.FBpp0072893"	"7227.FBpp0075431"	0	0	0	0	0	0	0	0	0	0	0	391	0	390	0	"PMID:21690386, PMID:21192841, PMID:19132091, PMID:19040769, PMID:18794343, PMID:18050469, PMID:17484784, PMID:17182898, PMID:16873581, PMID:16396912, PMID:16396909, PMID:15102702, PMID:14729575, PMID:14602684"
"csw"	"Shc"	"7227.FBpp0070363"	"7227.FBpp0076186"	0	0	0	0	0	0	0	0	99	0	333	820	163	897	0	"PMID:9973481, PMID:9774692, PMID:9756938, PMID:9671493, PMID:9670943, PMID:9632781, PMID:9558373, PMID:9472025, PMID:9418864, PMID:9389692, PMID:9388260, PMID:9368064, PMID:9212054, PMID:9188495, PMID:9162089, PMID:9115253, PMID:9110989, PMID:8978277, PMID:8959326, PMID:8943344, PMID:8930392, PMID:8887625, PMID:8798377, PMID:8639815, PMID:8622663, PMID:8392180, PMID:8264620, PMID:7935386, PMID:7545675, PMID:7531337, PMID:7504175, 
    PMID:24662938, PMID:24465223, PMID:23006971, PMID:22918949, PMID:22852078, PMID:22649787, PMID:22649417, PMID:22570334, PMID:22558231, PMID:22510471, PMID:22509316, PMID:22431918, PMID:22298657, PMID:22216034, PMID:21880180, PMID:21677292, PMID:20650860, PMID:20154139, PMID:19818165, PMID:19805360, PMID:19752219, PMID:19737390, PMID:19602287, PMID:19459784, PMID:19342613, PMID:19240129, PMID:19118210, PMID:19118209, PMID:18562482, PMID:18483217, 
    PMID:18388298, PMID:18253061, PMID:18039929, PMID:17997974, PMID:17664338, PMID:17167831, PMID:17158707, PMID:17089919, PMID:16873377, PMID:16787925, PMID:16738330, PMID:16729045, PMID:16705167, PMID:16687399, PMID:16465447, PMID:16456001, PMID:16339969, PMID:16253990, PMID:16135530, PMID:15634694, PMID:15574420, PMID:15492213, PMID:15465815, PMID:15269339, PMID:15082523, PMID:15026337, PMID:15020666, PMID:14701753, PMID:14662744, PMID:14644997, 
    PMID:14578355, PMID:12941962, PMID:12819203, PMID:12818006, PMID:12766170, PMID:12743027, PMID:12686619, PMID:12673197, PMID:12582165, PMID:12464621, PMID:12435793, PMID:12169433, PMID:12024020, PMID:11997510, PMID:11964397, PMID:11956235, PMID:11895767, PMID:11877385, PMID:11825879, PMID:11782428, PMID:11737890, PMID:11729184, PMID:11572860, PMID:11566606, PMID:11559746, PMID:11470823, PMID:11312300, PMID:11297548, PMID:11289486, PMID:11278704, 
    PMID:11118207, PMID:11046147, PMID:11035047, PMID:10995442, PMID:10982827, PMID:10880441, PMID:10880430, PMID:10871282, PMID:10867024, PMID:10809663, PMID:10801879, PMID:10799542, PMID:10779359, PMID:10753869, PMID:10716940, PMID:10669730, PMID:10662779, PMID:10650943, PMID:10648629, PMID:10629055, PMID:10601017, PMID:10531446, PMID:10514516, PMID:10514505, PMID:10455177, PMID:10455108, PMID:10411909, PMID:10202139, PMID:10068651"
"rasp"	"disp"	"7227.FBpp0072893"	"7227.FBpp0078314"	0	0	0	0	0	0	0	0	0	0	0	817	0	817	0	"PMID:23055936, PMID:22677548, PMID:22509132, PMID:22432040, PMID:21747935, PMID:21690386, PMID:21192841, PMID:20530542, PMID:19787036, PMID:19564910, PMID:19132091, PMID:19040769, PMID:18794343, PMID:18524957, PMID:18245841, PMID:18239057, PMID:18050469, PMID:17928586, PMID:17925578, PMID:17484784, PMID:17182898, PMID:17108000, PMID:16873581, PMID:16611729, PMID:16396912, PMID:16396909, PMID:16258256, PMID:16197551, PMID:15294867, PMID:15166250, 
    PMID:15102702, PMID:15075292, PMID:14729575, PMID:14630941, PMID:14602684, PMID:14597665, PMID:14530294, PMID:12208857, PMID:11861468, PMID:11748147, PMID:11731473"
"fu"	"disp"	"7227.FBpp0074373"	"7227.FBpp0078314"	0	0	0	0	0	101	0	0	0	0	0	164	102	266	0	"PMID:17925578, PMID:16055717, PMID:15198976"
"dlp"	"disp"	"7227.FBpp0075431"	"7227.FBpp0078314"	0	0	0	0	0	136	0	0	0	0	0	933	0	940	0	"PMID:25001599, PMID:24143114, PMID:24121526, PMID:24068944, PMID:23365253, PMID:22474285, PMID:21778405, PMID:21690386, PMID:21572042, PMID:21192841, PMID:19956802, PMID:19801637, PMID:19139721, PMID:19132091, PMID:19040769, PMID:18794343, PMID:18787559, PMID:18334026, PMID:18198278, PMID:18050469, PMID:17484784, PMID:17182898, PMID:17076889, PMID:16873581, PMID:16396912, PMID:16396909, PMID:15601817, PMID:15563523, PMID:15102702, PMID:14729575, 
    PMID:14602684, PMID:12000788, PMID:11092814"
"shf"	"ihog"	"7227.FBpp0070939"	"7227.FBpp0078993"	0	0	0	0	0	0	0	0	0	0	0	524	0	524	0	"PMID:25001599, PMID:24121526, PMID:24068944, PMID:23276604, PMID:20066107"
"rasp"	"ihog"	"7227.FBpp0072893"	"7227.FBpp0078993"	0	0	0	0	0	0	0	0	0	0	0	530	0	530	0	"PMID:21747935, PMID:21690386, PMID:21192841, PMID:20530542, PMID:19564910, PMID:19040769, PMID:18794343, PMID:18245841, PMID:18239057, PMID:17928586, PMID:17182898"
