transfac,cisbp,taipale,hocomoco,factorbook,homer,yetfasco,scertf,jaspar,predrem,swissregulon,c2h2,flyfactorsurvey,tiffin,hdpi,neph,elemento,bergman,tfdimers,mode_TF,prct_concordance,encode_accession_num
Hnf4,srp,GATAe,,Hnf4,Hnf4,GATAd,GATAd,Hnf4,,GATAd,br,Jra,,,,,br,Jra,Hnf4,30.7692307692308,ENCSR518MQL
GATAe,,Hnf4,,,GATAe,,GATAd,Jra,,srp,,GATAe,,Irp-1A,,,TFAM,,GATAe,33.3333333333333,
E2f1,GATAe,Hnf4,,,GATAe,GATAd,GATAd,GATAd,,GATAd,,BtbVII,,,,,,,GATAd,44.4444444444444,ENCSR245UCO
GATAe,Hnf4,GATAe,,,GATAe,,,GATAd,,foxo,,Cf2,,sd,,,,,GATAe,37.5,
