Gene_name,Gene_ID,New_Gene_ID,p,padj,loglik_full,loglik_red,mean,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isMonotonous
 CG17333 ,FBgn0030237,FBgn0030239,0.273372788,0.999775474,-101.344913,-104.5213945,50.03738651,0.353251349,0.949736616,0.233569748,0.999999999,FALSE
 CG2202 ,FBgn0030239,FBgn0030240,0.967627211,0.999775474,-121.4517746,-121.9193347,162.4123687,0.67034659,0.949736616,0.987302026,0.999999999,FALSE
 feo ,FBgn0030240,FBgn0030241,0.402492122,0.999775474,-122.3274918,-124.8829597,195.3132781,0.383422076,0.949736616,0.362714016,0.999999999,FALSE
 sofe ,FBgn0030241,FBgn0030242,0.522214925,0.999775474,-147.9663658,-150.0620166,726.4696857,0.312117627,0.949736616,0.601418558,0.999999999,FALSE
 CG2186 ,FBgn0030242,FBgn0030243,0.30454728,0.999775474,-102.2938193,-105.3024276,61.13218951,0.058408667,0.949736616,0.952997481,0.999999999,FALSE
 CG2157 ,FBgn0030243,FBgn0030244,0.907056213,0.999775474,-148.5444308,-149.3201601,340.6926902,0.46039605,0.949736616,0.999999641,0.999999999,FALSE
 CG1637 ,FBgn0030244,FBgn0030245,0.815954106,0.999775474,-90.05041417,-91.16726227,23.06178864,0.394242735,0.949736616,0.94593983,0.999999999,FALSE
 CG1582 ,FBgn0030245,FBgn0030246,0.906885094,0.999775474,-138.4473191,-139.2237713,390.2830035,0.543300174,0.949736616,0.953762139,0.999999999,FALSE
 CG15208 ,FBgn0030246,FBgn0030247,0.323764515,0.999775474,-149.2075016,-152.1192972,560.4046175,0.935972674,1,0.127636678,0.999999999,FALSE
 SmydA-4 ,FBgn0030251,FBgn0030257,0.904097755,0.999775474,-25.53041406,-26.31857518,0.205289864,0.465371073,0.949736616,0.997371572,0.999999999,FALSE
 CG1552 ,FBgn0030257,FBgn0030258,0.939588613,0.999775474,-3.518483635,-4.145506118,0.100972363,0.770141356,0.949736616,0.865727786,0.999999999,FALSE
 CG1545 ,FBgn0030258,FBgn0030259,0.938757969,0.999775474,-3.518552711,-4.149726531,7.59E-06,0.691969796,0.949736616,0.913160718,0.999999999,FALSE
 CG1537 ,FBgn0030259,FBgn0030260,0.938920829,0.999775474,-3.518533664,-4.148895426,7.60E-06,0.793088238,0.949736616,0.850164867,0.999999999,FALSE
 CG15203 ,FBgn0030260,FBgn0030261,0.76209868,0.999775474,-38.74509848,-40.0426845,1.709340611,0.33754014,0.949736616,0.935444929,0.999999999,FALSE
 Vago ,FBgn0030261,FBgn0030262,0.428267869,0.999775474,-42.73281635,-45.18256762,1.531601228,0.121477498,0.949736616,0.877089583,0.999999999,FALSE
 CG2076 ,FBgn0030262,FBgn0030263,0.935021583,0.999775474,-40.95327561,-41.60283863,1.020347957,0.554901259,0.949736616,0.989177818,0.999999999,FALSE
