Gene,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
FBgn0031092,0.44342118,0.999775474,-145.1039732,-147.4935565,9,4,434.3275842,0,0,0,0.14983154,0.949736616,0.805442993,0.999999999,FALSE,FALSE,FALSE
FBgn0031093,0.954804501,0.999775474,-153.8700282,-154.4160558,9,4,362.0389656,0,0,0,0.737902874,0.949736616,0.922355401,0.999999999,FALSE,FALSE,FALSE
FBgn0031094,0.989468147,0.999775474,-126.4680474,-126.751502,9,4,278.7732541,0,0,0,0.769721073,0.949736616,0.997621934,0.999999999,FALSE,FALSE,FALSE
FBgn0031097,0.996214719,0.999775474,-58.65664905,-58.83964589,9,4,2.979090407,0,0,0,0.845684932,0.962286024,0.998577184,0.999999999,FALSE,FALSE,FALSE
FBgn0031098,0.860398554,0.999775474,-118.9519445,-119.9108428,9,4,172.8796424,0,0,0,0.40557112,0.949736616,0.990248393,0.999999999,FALSE,FALSE,FALSE
FBgn0031099,0.467230898,0.999775474,-90.23518075,-92.53284539,9,4,19.02456555,0,0,0,0.326011884,0.949736616,0.502314106,0.999999999,FALSE,FALSE,FALSE
FBgn0031100,0.878532899,0.999775474,-27.5744904,-28.46502263,9,4,0.098064667,0,0,0,0.611696543,0.949736616,0.849939005,0.999999999,FALSE,FALSE,FALSE
FBgn0031104,0.565229729,0.999775474,-35.95963069,-37.90507588,9,4,0.914076777,0,0,0,0.565140805,0.949736616,0.431875762,0.999999999,FALSE,FALSE,FALSE
FBgn0031106,0.892892796,0.999775474,-110.5162721,-111.3503263,9,4,99.71166469,0,0,0,0.915024064,0.99307488,0.684464962,0.999999999,FALSE,FALSE,FALSE
FBgn0031107,0.380274206,0.999775474,-152.0424864,-154.6929262,9,4,428.3800144,0,0,0,0.257130073,0.949736616,0.460207528,0.999999999,FALSE,FALSE,FALSE
