gene_name,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
nkd,FBgn0002945,15.8853213042068,0.149383382295874,0.140167492989935,81.0580777537707,1.03947473756192e-16,2.10782377338945e-16
ihog,FBgn0031872,30.9879121807073,-0.100832646019373,0.141458965979733,79.6128585516367,2.10385602083466e-16,4.20771204166932e-16
Or19b,FBgn0062565,7.38401121181569,-0.000937840664136742,0.104750207151569,76.7456996775276,8.5129466289717e-16,1.67958136193225e-15
CG34045,FBgn0054045,8.18900392943813,-0.0369597241712958,0.125604834099202,75.7702921632185,1.3692219272664e-15,2.66541868507859e-15
Axn,FBgn0026597,746.809377432869,-0.132572984778518,0.0629156110154698,74.7874791634601,2.20986455817384e-15,4.2452661249129e-15
sgg,FBgn0003371,62.6086650597524,0.00966963345467995,0.126239161618683,73.310237774238,4.53636673313158e-15,8.60142263684689e-15
hh,FBgn0004644,1951.86739806962,0.0334974368046996,0.0937293754735321,67.4539469951814,7.82039076717335e-14,1.4638167333427e-13
Hey,FBgn0027788,20.7188088550908,0.0540176386430708,0.140769546177019,65.982698314839,1.59737731659725e-13,2.95211504079998e-13
cry,FBgn0025680,706.869313300748,-0.123449682389972,0.05919463345349,62.5173645893497,8.57380084132962e-13,1.56471865354266e-12
CG13164,FBgn0061197,13.2294766074517,-0.106684099876106,0.100377034658237,61.4157905194445,1.46183364347369e-12,2.63491002403899e-12
LRP1,FBgn0053087,70.571433655068,-0.102349282514574,0.120345898995205,56.6605828029862,1.45756238293218e-11,2.59517204765974e-11
cos,FBgn0000352,27.6950340493804,-0.0587875376840655,0.138876444640145,54.9348944065989,3.35264655617024e-11,5.89742647229946e-11
Usp8,FBgn0038862,5.702824442803,-0.0227860684365666,0.109655322204156,50.9659471549529,2.26909113996469e-10,3.94389650517673e-10
Ube3a,FBgn0061469,819.759195217905,0.368517926939654,0.131077589549651,49.8183864286553,3.94029491368785e-10,6.76803596939325e-10
rasp,FBgn0024194,150.846008056614,-0.0689394431354602,0.114868653542832,49.3725223233795,4.88195635556076e-10,8.2879724175799e-10
abo,FBgn0000018,3.79507855981109,-0.0214008350020186,0.0759167564885195,40.5144785213621,3.38765855738105e-08,5.6850361997429e-08
arr,FBgn0000119,103.37700602742,-0.0139061906458429,0.141098905200384,38.3884552190864,9.31708616034819e-08,1.54578929478504e-07
HDAC3,FBgn0025825,4.10822257214985,0.0029686447140302,0.0800310067809219,35.9850804382201,2.91421857597083e-07,4.7806282257499e-07
CG40198,FBgn0058198,46.9184745249763,0.0740589334853016,0.0660630086909776,35.4648540878646,3.72819683922035e-07,6.0479637614019e-07
dsh,FBgn0000499,39.4304453297705,0.0318189835107331,0.139123146909466,32.8703102768354,1.2697804325111e-06,2.03723014446836e-06
Tace,FBgn0039734,72.762359921003,-0.175589719421539,0.126683305865061,31.7782431014989,2.12348525423366e-06,3.36987877302298e-06
shf,FBgn0003390,1152.22103369693,0.16426146192867,0.10694948627644,29.8347179224846,5.28864394009942e-06,8.30260231456467e-06
Pka-C1,FBgn0000273,5.86695098155333,-0.165549355996998,0.121850441814051,27.8592196058401,1.3319741142156e-05,2.06881085824977e-05
CG34057,FBgn0054057,13.0395075477519,-0.0184078808863805,0.140706683500354,26.3396083068307,2.70265478584457e-05,4.15355367087691e-05
en,FBgn0000577,53.7731443134943,-0.00310423485584077,0.121102898916357,25.7360227946192,3.57690863402947e-05,5.43988188091981e-05
CR40005,FBgn0058005,13.3444886211814,0.252196309476808,0.128939700614211,24.5442567075937,6.21187843079515e-05,9.34983763810404e-05
CG33969,FBgn0053969,139.384908885673,0.249859286769159,0.125162399280141,24.4887620562695,6.37330278614548e-05,9.49492047731877e-05
lncRNA:CR34047,FBgn0054047,2.2093569210745,-0.0438647533987294,0.0702550371327511,20.5869265341681,0.00038232513191951,0.000563833022830793
Frl,FBgn0267795,160.10716546815,-0.261073750465256,0.12084544520208,18.7433610920012,0.000882632641514727,0.0012886436566115
CG34051,FBgn0054051,5.05168432301197,-0.0929827711350496,0.0893990248778205,18.4954718868168,0.000987159287744944,0.00142698273277982
smo,FBgn0003444,439.631557480077,-0.00420533457805967,0.0876126060914139,18.02630993997,0.00121957206946701,0.00174566198178612
Amy-p,FBgn0000079,3.89817561377462,-0.0253249320299418,0.106602428245156,17.7794591163477,0.00136277426279337,0.00193169944046439
Tak1,FBgn0026323,1.64973628002222,-0.0438906330485148,0.0750537116280018,17.671015148764,0.00143081865159143,0.00200864926088797
lncRNA:CR33942,FBgn0062961,2.48747570849535,0.0732554571003106,0.0975023330546825,16.6659415349957,0.00224417481045217,0.00312047164120017
CG34034,FBgn0054034,2.96214401273981,-0.0520750291951928,0.093691949755987,16.062300808586,0.00293669450863847,0.00404488111567186
dpp,FBgn0000490,4.37288107077751,0.0406048426132182,0.10653444427882,15.9021448220605,0.00315332110197541,0.00430266243820943
lncRNA:CR34046,FBgn0054046,1.68106599656996,-0.0224913738397693,0.0689280521422635,14.8349199470803,0.00505614038427168,0.0068351527417006
asRNA:CR46105,FBgn0267774,18.8808098286714,-0.0604109926566214,0.141095685796009,14.6248747118035,0.00554596586840309,0.00742854143841148
Cul3,FBgn0261268,2.77764665347798,-0.00466826601897946,0.0497849174138252,13.8152063301833,0.00790880611286373,0.0104610439961264
CG33998,FBgn0053998,1.57842700600556,-0.0448076278320609,0.0705314389977301,13.802372714612,0.00795325947650705,0.0104610439961264
asRNA:CR31429,FBgn0063298,383.979377977259,0.0748946210991916,0.090860185570438,11.4855504899471,0.021616385857271,0.028178502992514
lncRNA:CR34006,FBgn0054006,1.50788693771895,-0.0289048569169759,0.0512801627793855,11.2733650470124,0.0236576131956951,0.0305664736864733
CG33792,FBgn0053792,2.14096748084647,0.0680013377726156,0.0893293351666285,10.1028997121222,0.0387295669373741,0.0496010243233037
