predrem,elemento,transfac,neph,flyfactorsurvey,cisbp,stark,jaspar,idmmpmm,taipale,swissregulon,tfdimers,homer,hocomoco,bergman,factorbook,yetfasco,hdpi,mode_TF,prct_concordance,encode_accession_num
,,,,zld,Mef2,sim,,Med,pb,ct,,Stat92E,,Stat92E,Stat92E,Myb,ERR,Stat92E,27.2727272727273,ENCSR240ADR|ENCSR290OJD|ENCSR494UZY|ENCSR894SLL
,,ovo,,,,pros,,sna,pb,Stat92E,,Stat92E,,,,,,Stat92E,33.3333333333333,ENCSR240ADR|ENCSR290OJD|ENCSR494UZY|ENCSR894SLL
,,,,,zld,,,,,,pho,,,,,,,pho,50,ENCSR017FMO|ENCSR681YMA
,,Mef2,,,,,,,,,,,,,,,,Mef2,100,
