"","X0","X20","X40","X60","X80","X100","X120","X140","X160","X180"
"CG12535",-0.4596122,-1.978272,-0.01864852,-0.42054808,-0.902090454,1.444404988,0.186129137,0.69102399,1.06305105,0.39456213
"Taz",-0.6274343,-1.3786993,-1.165891065,-0.80378891,-0.522728068,0.690552187,1.084907937,0.61107637,1.34695497,0.76505014
"Rbm13",-1.266124,-0.6660591,-1.272111093,-0.95207269,0.05325525,0.039958532,0.889431999,1.24025222,1.302657,0.6308118
"CG6767",-1.2334512,-1.237833,-0.577503567,-0.92479018,-0.473427587,0.578569029,1.507536976,0.63501263,0.99235147,0.73353546
"CG31381",-1.7693561,-1.0109207,-0.711035313,-0.33526167,-0.268033238,0.291610273,0.429765377,0.87290883,1.25701997,1.24330254
"bbc",-1.4299829,-0.9245318,-1.431231544,-0.29911746,0.09925048,0.73468718,0.521375286,1.51727648,0.83429753,0.37797677
"Cyt-c-p",-1.1309933,-1.2596175,-1.195751209,-0.34768094,-0.251823887,0.137841792,0.62751858,1.21261238,0.78812056,1.41977354
"kz",-1.5313695,-1.2399805,-0.828014767,-0.38729314,-0.364882163,0.55503109,0.614921763,0.81992619,1.1541504,1.20751064
"Mtr4",-1.3192987,-1.3126767,-0.722309185,-0.6491337,-0.361693303,0.811483565,0.22963523,0.90875775,1.14187165,1.27336337
"Pdp1",-1.0270314,-1.3754396,-0.772671598,-0.9417801,-0.252644424,0.71070541,0.928381735,1.13254273,1.33712408,0.26081312
"Nle",-0.8188761,-0.75646,-1.469247442,-0.93194631,-0.021016577,-0.204125975,0.626118719,1.26968722,1.04057498,1.26529148
"CG16833",-1.3123267,-1.1652282,-1.0428754,-0.41081131,-0.588067088,0.612352729,0.765790499,1.05055805,0.86164475,1.22896264
"GABA-B-R2",-1.5401061,-0.6315892,-0.970824343,-0.56985029,-0.50818902,0.266816369,0.48042299,1.06816953,1.63171741,0.77343261
"Gk2",-1.5317865,-0.9175775,-1.271867235,-0.26939057,-0.059112529,0.321348568,0.622198669,0.7413124,0.80712841,1.55774628
"CG18178",-1.0743641,-0.9549617,-1.497403309,-0.13748648,-0.361823599,0.512846899,0.270353132,0.86772492,0.62536441,1.74974984
"CG3808",-1.4918285,-1.0707688,-1.411804696,-0.24634079,0.356053834,0.425147445,0.4437057,1.06573718,0.77638317,1.15371551
"Dmtn",-1.8194987,-0.9224663,-0.646632096,-0.60547328,0.241943591,0.078134785,0.943433705,0.49379522,1.53888857,0.6978745
"SpdS",-1.0382089,-0.6433255,-1.711530688,-0.33923639,-0.497017884,0.806041696,0.464446359,0.81984316,0.62699136,1.51199685
"Droj2",-1.2015776,-1.3863279,-0.162039297,-0.86749029,-0.774028389,0.421037834,0.876838712,0.9917561,1.29365447,0.80817639
"Non3",-0.8970487,-1.2791087,-1.377570787,-0.29882611,-0.335455648,0.361619552,0.52353956,1.09883673,0.64456204,1.55945212
"CG18600",-1.4272004,-0.824735,-1.364816581,-0.28794569,-0.034819239,0.18796762,0.288162331,1.30079844,0.77533558,1.38725291
"Gclm",-1.2575896,-1.08589,-1.491190726,-0.19252435,0.323286799,-0.173349044,0.786839762,1.08051275,0.86793167,1.14197272
"U3-55K",-1.3253361,-0.9051341,-1.36618677,-0.47208994,-0.044786046,0.27837992,0.349791271,1.28285176,0.92548166,1.27702831
"mbm",-1.4192255,-1.0745,-1.452450585,0.06211793,-0.0568004,0.530822947,0.38688258,0.70832278,0.93140679,1.38342341
"Mat89Ba",-1.3333087,-1.0570605,-1.513293096,0.09090975,-0.112725225,0.262129478,0.556906809,0.98311529,0.75001138,1.37331483
"kdn",-1.4931658,-0.9821488,-0.632949444,-1.12642634,-0.072435431,0.390103009,0.684074024,1.00271807,1.01871542,1.21151527
