"","X0","X20","X40","X60","X80","X100","X120","X140","X160","X180"
"ImpL2",-1.7287873,-1.6152626,-0.714473768,0.33575316,0.511512988,0.456919601,1.091530259,0.76226688,0.70583014,0.19471055
"sty",-2.2917372,-1.3028746,-0.112644453,0.40216528,0.59992195,0.617361958,0.505964154,0.51792421,0.38232019,0.68159853
"Ptpmeg2",-2.1117865,-1.1599416,-0.673764891,0.46726179,0.98205501,0.419435952,0.8277746,0.69543424,0.10326652,0.45026488
"CG32103",-2.2594276,-1.2108797,-0.291867335,0.21178313,0.36895493,0.551370945,0.412936012,0.58358719,0.89819655,0.73534593
"Orct2",-2.0886375,-1.1688054,-0.02813008,0.42500301,0.844684818,1.190380564,0.815502272,0.2231294,0.226624,-0.43975109
"cwo",-2.5046232,-0.7966658,0.535516662,1.02233753,0.430497042,0.042578631,0.588785654,0.23187463,0.41398476,0.03571416
"CG42668",-2.1674046,-1.3462674,-0.37519861,0.22851788,0.635931741,0.591212551,0.45975038,0.75640492,0.51142392,0.70562916
"Irk1",-1.9010072,-1.4117056,-0.752006384,0.30840013,0.623180336,0.226025926,0.827818422,0.3666809,0.91518261,0.79743083
"CG1673",-1.992423,-0.8774871,-0.666234297,0.89849522,0.267924868,1.107409575,0.302268259,0.94823436,0.60606492,-0.59425287
"Sesn",-1.693444,-1.5071304,-0.907515001,-0.0480371,0.703708911,0.716179035,0.894937653,0.85495372,0.42799621,0.55835095
"CG5346",-1.4652205,-1.6071993,-1.045882085,-0.0605058,0.405959642,0.675017748,0.888353032,0.92018736,0.85080848,0.43848139
"chrb",-2.1519962,-1.5350978,0.593558945,0.01529746,0.424855187,0.703589061,0.455389077,0.36635964,0.62085833,0.50718626
"Pi3K21B",-1.9139943,-1.5747494,-0.344980588,0.10283534,0.71911031,0.326831474,0.239173398,0.73320026,1.0012421,0.71133147
"B4",-2.0826784,-1.2204479,-0.493443158,-0.06639373,0.408149226,0.416814423,0.368728665,0.67327325,0.95627099,1.03972662
"Pcyt1",-1.9578456,-1.2128564,-0.697124503,0.39022975,0.769323142,0.708933149,1.28491935,0.37562144,0.40773981,-0.0689401
