"","X0","X20","X40","X60","X80","X100","X120","X140","X160","X180"
"Men",-1.5184068,-1.3133813,-1.069177881,-0.30607819,0.231292406,0.566881788,0.384284393,0.68087835,1.16722658,1.17648057
"mod",-0.9542537,-1.0287412,-1.093075913,-0.83159085,-0.217241905,0.135189775,0.457690284,0.70940319,0.97373903,1.84888125
"Fib",-0.8837007,-0.9341259,-1.27450735,-0.60347852,-0.446806261,0.048177019,0.463722964,0.91078112,0.90588849,1.81404918
"r-l",-1.1701538,-0.7885971,-1.171179005,-0.6804199,-0.298162094,0.267506769,0.46545165,0.59690893,0.85062732,1.92801722
"Prat",-1.0256169,-1.2462891,-1.064891859,-0.68935789,0.215946651,0.524895529,0.569769318,0.6918071,0.11394705,1.90979008
"Dbp45A",-1.3328243,-0.6912693,-0.926756461,-0.04004641,-0.180534482,0.235295452,-0.113553066,0.14650065,0.5716276,2.3315603
"ppan",-1.2096286,-0.5646923,-1.199847393,-0.70913991,-0.045629137,0.101248224,0.41540079,0.33316094,0.79348572,2.08564169
"peng",-1.0172133,-0.874288,-1.234888068,-0.80847261,0.004523282,0.236853135,0.154384624,0.80156234,0.84302912,1.89450951
"RpI1",-1.066771,-1.0003362,-1.238899441,-0.67492431,0.098028518,-0.027601457,0.360560333,0.84890784,0.9250089,1.77602683
"Rtc1",-1.3590781,-0.7303429,-1.023001826,-0.42477488,-0.540761674,0.275339958,0.216286367,0.7654548,0.95605683,1.8648214
"Nnp-1",-1.0121574,-0.9204688,-1.297984302,-0.76987902,-0.151366771,0.181741092,0.722385361,0.53636687,0.96224696,1.74911598
"l(2)09851",-0.8150644,-0.915283,-1.569349392,-0.38209521,-0.244128675,-0.050336477,0.607088441,0.744522,0.83290432,1.79174247
"Nmd3",-0.8593658,-1.1224518,-1.466933916,-0.51240747,0.126509421,0.071136468,0.668925732,0.45355614,0.85933599,1.78169519
