"","X0","X20","X40","X60","X80","X100","X120","X140","X160","X180"
"CG11417",-1.126815,-0.8290974,-0.929163557,-0.88077888,-0.156974296,-0.038681103,0.09297952,0.83021757,1.34019772,1.69811536
"nop5",-1.0182787,-1.096191,-1.18342156,-0.58078632,-0.242663399,0.093846149,0.410074668,0.73591299,1.22314067,1.65836652
"l(1)G0004",-0.995167,-0.7162007,-1.22409562,-0.86732585,-0.284958488,0.278581771,0.431325228,0.95847172,0.48310234,1.93626662
"CG5033",-1.1976822,-1.1865347,-1.041239597,-0.50435254,-0.173003484,0.558395528,0.085413265,1.05294913,0.719882,1.68617263
"NHP2",-1.2003466,-0.662991,-1.492020593,-0.38237401,-0.265501646,-0.046952325,0.660245576,1.20228714,0.64647501,1.54117854
"CG15766",-0.782499,-0.8757105,-1.265959415,-0.55774441,-0.289489957,-0.189227241,-0.065869125,1.01012334,1.59044521,1.42593102
"CG1785",-1.0532688,-1.4771354,-0.923965973,-0.42590301,-0.055255743,0.174387553,0.255691053,0.65106088,1.23085619,1.62353321
"CG2691",-1.0544337,-1.4043976,-0.265818225,-0.83389726,-0.016279816,0.093101503,0.017633613,0.54767308,0.91605848,2.00035998
"CG9281",-1.5042567,-1.2598406,-0.767863709,-0.54757752,0.068846813,0.13499602,0.609830103,0.83860487,0.88450607,1.54275465
"CG8939",-1.0912012,-0.9761885,-1.437244735,-0.48488401,-0.002966602,0.113449427,0.569812859,0.77196249,0.81962353,1.71763674
"Aatf",-1.332072,-0.669068,-1.338670542,-0.21226029,0.010052067,0.17883366,0.502487943,-0.06035791,1.02101771,1.90003738
"CG13096",-0.9988307,-0.9248148,-1.226888327,-0.70415015,-0.177064643,0.265748194,0.139744147,0.83858256,0.92709973,1.86057396
"CG13097",-0.6281254,-1.0140697,-1.399659663,-0.69701903,-0.213923007,0.066695245,0.028848939,1.07559272,1.22427749,1.55738237
"Csl4",-0.7330093,-0.8537074,-1.445674797,-0.73407129,-0.198488177,0.556740586,0.237578136,0.59659864,0.56921138,2.00482224
"CG6565",-1.3098426,-0.7859398,-1.471354223,-0.18585995,-0.058284357,-0.094892217,0.555408083,0.88048784,0.83519468,1.63508257
"CG12050",-1.0971164,-1.1497327,-1.180694201,-0.46389845,-0.058602398,0.123941826,0.394189213,0.6835399,0.90141596,1.84695728
"CG9253",-1.2303072,-0.8363314,-1.278925529,-0.6685932,-0.371361186,0.537821305,0.347695487,1.01616112,1.10253204,1.38130855
"Mys45A",-0.9426592,-0.8064645,-1.573037075,-0.48172629,-0.158933443,0.288606198,0.145661196,0.64498567,1.28171317,1.60185427
"CG12909",-0.9765059,-0.7901343,-1.445091306,-0.54615059,-0.328271776,-0.068664239,0.461978054,1.07893441,1.05268603,1.56121957
"CG12325",-1.1045145,-0.9555134,-1.235992905,-0.62572359,-0.304126703,0.398143267,0.468550958,0.58092954,1.0146412,1.76360609
"CG8545",-0.9761759,-0.9098752,-1.390451977,-0.86318861,-0.155139908,0.37039944,0.542945303,0.71965563,1.22108411,1.44074709
"CG9143",-1.1643135,-0.6850452,-1.461849068,-0.45551154,-0.128246636,-0.112978295,0.4677558,1.16536657,0.73762297,1.63719886
"CG11180",-0.9595075,-0.9990792,-1.445577805,-0.69980925,-0.127189289,0.50173581,0.453459432,0.58275663,1.17065411,1.5225571
"CG4554",-1.3398936,-1.0323801,-1.087473449,-0.52823696,-0.034328717,0.259322101,0.323652413,0.61527901,1.14950081,1.67455847
"CG11583",-0.879898,-0.885338,-1.317323647,-0.70637005,-0.461224563,0.27136279,0.429221742,0.71259032,1.09829629,1.73868313
"CG15019",-0.3795371,-0.9120453,-1.189225999,-0.87462121,-0.669962732,-0.273358044,0.471202077,1.02074579,1.16018754,1.64661501
"CG10576",-1.0416664,-1.139155,-1.05403419,-0.73889122,-0.349566436,0.335955955,0.364054781,1.02195425,1.01360873,1.58773948
"CG8368",-1.6477736,-0.565039,-1.012105751,0.0235596,-0.643926071,0.392519465,0.187555892,0.69809856,0.75705765,1.81005322
"CG5114",-1.1505831,-1.0642144,-1.29760738,-0.25565336,0.094260075,0.054381392,0.102149785,0.74605796,0.9521398,1.81906928
"CG12301",-0.925374,-1.12545,-1.383589571,-0.36978825,-0.290422508,0.283561757,0.57970935,0.48728801,0.97030521,1.77376001
"CG7728",-1.0950289,-1.06358,-1.408867904,-0.5737474,0.026399773,0.10575382,0.744293701,0.88656347,0.89261364,1.48559977
"CG5589",-0.8078664,-0.7146814,-1.393833455,-0.57581006,-0.344380606,0.180609721,0.041312124,0.93366244,0.65356007,2.02742757
"eRF1",-0.5429336,-0.9242224,-0.590376502,-0.83741077,-0.589069186,0.156875378,0.485065577,-0.27817611,0.76987719,2.35037041
"CG10565",-0.739142,-1.2411266,-1.141190512,-0.80774594,-0.352047368,0.490689829,0.216981114,0.93745593,1.00717107,1.62895449
"CG12975",-0.9826841,-0.4641464,-1.694825085,-0.16410374,-0.053658147,-0.534089064,0.221540081,0.98241114,1.33170047,1.35785487
"Tsr1",-0.8401883,-0.8043634,-1.269191331,-0.59357649,-0.542696009,-0.094233873,0.359003372,0.96447376,0.99624038,1.82453188
"Nopp140",-0.7066663,-1.0928412,-1.485250626,-0.77655009,-0.131504682,0.312639194,0.505572025,0.88972138,0.89047262,1.59440769
"srl",-1.4432554,-1.4108347,-0.748621324,-0.41623532,-0.087615492,0.458419953,0.435788758,0.84297542,0.81893465,1.55044345
"CG10286",-0.8193244,-0.8754976,-1.751390363,-0.45079432,-0.291660191,0.244986619,0.663026586,0.96898,0.93663416,1.3750395
"CG1234",-1.0152563,-0.9579491,-1.638488702,-0.33016556,-0.052713439,0.461146575,0.276898483,0.59333385,1.1479131,1.51528103
"CG9799",-1.2633571,-1.1856374,-1.184788049,-0.55373146,0.125707558,0.415500323,0.418397757,0.68525618,0.93798245,1.60466972
"CG6231",-0.9915911,-0.9035942,-1.413482618,-0.31451801,-0.168750641,-0.31399829,0.606630471,0.67061364,1.133392,1.69529871
"Surf6",-0.8478633,-0.7829771,-1.298669271,-0.72929793,-0.190215044,-0.28407765,0.293242168,0.88414812,1.25767754,1.69803238
"Nop56",-1.1059888,-0.855069,-1.178008905,-0.5995218,-0.190990177,0.063650932,0.289607281,0.90870136,0.70520835,1.96241083
"CG12499",-1.1415661,-0.9842438,-1.342343837,-0.56025771,-0.050833222,0.18301364,0.448965229,0.80395737,0.97903175,1.66427669
"CG5728",-1.2090934,-1.0509889,-1.108557001,-0.67856583,-0.167038177,0.166233276,0.521608931,0.89866202,1.03417804,1.59356098
"CG7006",-0.6505527,-0.9969538,-1.39482954,-0.01471708,-0.616051692,-0.39997482,0.446290228,0.93684287,0.89617316,1.79377336
"CG11089",-1.227862,-1.2398634,-0.70296738,-0.42467907,-0.300352779,0.179165907,0.315234719,0.91273358,0.49287352,1.99571693
"RIOK2",-1.2678011,-0.6402373,-1.579688078,-0.1783073,-0.451629848,0.475227731,0.359856285,0.64656839,1.27366058,1.36235064
"CG1542",-0.8951242,-0.768539,-1.221787504,-0.39306623,-0.378640683,-0.086282158,0.199514642,0.83285558,0.51839156,2.19267803
"CG1607",-0.5925649,-0.9061624,-1.583509849,-0.28455592,-0.060502495,-0.203759054,0.21648414,0.79546404,0.57314464,2.04596177
"CG11076",-1.0877416,-0.8726395,-1.409677277,-0.21775543,-0.173250994,-0.331225568,0.651348324,0.6338455,1.16367866,1.64341782
"bor",-1.5937615,-0.6365964,-0.941512324,-0.75265333,0.301710512,0.119746412,-0.110463672,0.94931603,1.20182541,1.46238881
"CG13773",-0.904383,-0.7178904,-1.589599307,-0.57271317,-0.175057612,0.014796822,0.263564475,1.06994441,1.02527191,1.58606578
"CG30349",-1.0080089,-0.6838058,-1.326858608,-0.84528281,-0.383484879,0.19411867,0.425286101,1.02948474,0.95316416,1.64538727
"CG32344",-0.7581734,-0.7006429,-1.588559607,-0.41270421,-0.373671639,0.006895274,0.315988686,0.52335306,1.13017848,1.85733617
"CG32409",-1.0046064,-0.8336162,-1.328013739,-0.69429393,-0.233700445,0.225834052,0.23970888,0.85972147,0.98799864,1.78096767
"CG32732",-0.9172792,-1.1171638,-0.648487231,-0.41826554,-0.518586382,-0.315031292,0.174153077,0.62267613,1.01882932,2.11915492
"Uhg2",-1.2836225,-0.7430483,-1.15097921,-0.21988289,-0.379169042,-0.212043302,0.549262643,0.55920966,0.95230028,1.92797267
"kra",-0.7378916,-1.4475359,-0.552094296,-0.91190155,-0.631226435,0.354170565,0.484937856,1.06077923,0.6876543,1.6931078
"Nop60B",-0.9381345,-1.093921,-1.090432501,-0.7784739,-0.18821228,-0.025805678,0.390781986,1.00730693,1.01642204,1.7004689
"GLS",-1.3011508,-1.3862058,-0.923267927,-0.43234979,0.031745133,0.225098982,0.397758341,0.83699549,0.97495703,1.57641941
"bel",-1.3456948,-1.3588932,-0.757364513,-0.32457982,-0.123952391,0.230742209,0.223804341,0.832173,0.85895679,1.76480836
"nclb",-0.952543,-0.9317234,-1.475346137,-0.44776891,-0.341206269,0.207576623,0.352016469,1.00365888,0.96504498,1.62029069
"pit",-1.2886815,-0.7955983,-1.461095574,-0.3070933,0.162011493,-0.026996639,0.383520186,0.71329421,0.88576826,1.73487125
"CR45214",-1.2563068,-1.4493422,-0.525527739,-0.70257829,-0.090109681,0.562480641,0.185757236,0.82895784,0.71735556,1.72931339
