cisbp,jaspar,taipale,homer,flyfactorsurvey,elemento,swissregulon,transfac,hocomoco,predrem,tiffin,factorbook,yetfasco,scertf,stark,hdpi,idmmpmm,mode_TF,prct_concordance,encode_accession_num
Clk,Hey,,CG9727,Atf6,Max,Max,SREBP,,,,,E2f1,,,Max,,Max,33.3333333333333,ENCSR224YOT|ENCSR672KPS
Mondo,,,Max,Max,,NfI,Max,,Myc,CG4730,Nf1,Atf3,Tbp,,,,Max,30,ENCSR224YOT|ENCSR672KPS
,Mondo,CG9727,Max,Met,E(spl)m3-HLH,,Rfx,,Tbp,,Clk,Tbp,E2f1,,,,Tbp,20,ENCSR025MAQ|ENCSR599DVZ
Clk,,Max,Clk,Clk,,Clk,CG9727,,,,,brm,pb,,,,Clk,50,ENCSR904GFO
