"gene_name","gene_id","0","20","40","60","80","100","120","140","160","180"
"Sesn","FBgn0034897","-1.6934440","-1.5071304","-0.907515001","-0.04803710"," 0.703708911"," 0.716179035"," 0.894937653"," 0.85495372"," 0.42799621"," 0.55835095"
"CG5346","FBgn0038981","-1.4652205","-1.6071993","-1.045882085","-0.06050580"," 0.405959642"," 0.675017748"," 0.888353032"," 0.92018736"," 0.85080848"," 0.43848139"
"Taz","FBgn0026619","-0.6274343","-1.3786993","-1.165891065","-0.80378891","-0.522728068"," 0.690552187"," 1.084907937"," 0.61107637"," 1.34695497"," 0.76505014"
"Rbm13","FBgn0030067","-1.2661240","-0.6660591","-1.272111093","-0.95207269"," 0.053255250"," 0.039958532"," 0.889431999"," 1.24025222"," 1.30265700"," 0.63081180"
"CG6767","FBgn0036030","-1.2334512","-1.2378330","-0.577503567","-0.92479018","-0.473427587"," 0.578569029"," 1.507536976"," 0.63501263"," 0.99235147"," 0.73353546"
"chrb","FBgn0036165","-2.1519962","-1.5350978"," 0.593558945"," 0.01529746"," 0.424855187"," 0.703589061"," 0.455389077"," 0.36635964"," 0.62085833"," 0.50718626"
"CG31381","FBgn0043799","-1.7693561","-1.0109207","-0.711035313","-0.33526167","-0.268033238"," 0.291610273"," 0.429765377"," 0.87290883"," 1.25701997"," 1.24330254"
"snoRNA:U3:9B","FBgn0065046","-0.4251421","-0.3821593","-0.308872345","-0.47931190","-0.310598054","-0.408959100"," 0.031705528"," 2.80947767","-0.10218843","-0.42395193"
"snoRNA:Psi28S-291","FBgn0065064","-1.0115892","-0.4113270","-0.224161197","-0.18463458","-0.634183327","-0.402842397"," 0.001487641"," 2.54757014"," 0.71548158","-0.39580165"
"RNaseMRP:RNA","FBgn0065098","-0.4664684","-0.5322135","-0.263881711","-0.31685684","-0.194017031","-0.457627272","-0.372587829"," 2.81235594","-0.02652915","-0.18217416"
"28SrRNA-Psi:CR40596","FBgn0085753","-0.3656947","-0.3984601","-0.216735474","-0.40547515","-0.318418232","-0.278621473","-0.263100740"," 2.84098011","-0.29839122","-0.29608300"
"CR40668","FBgn0085764","-0.3236137","-0.3271513","-0.343752583","-0.33498233","-0.303515948","-0.321629746","-0.302482239"," 2.84550027","-0.27367759","-0.31469480"
